,VH,VH_1,VH_2,VH_3,VH_4,VH_5,VH_6,VH_7,VH_8,VH_9,VH_10,VH_11,VH_12,VH_13,VHVV,VHVV_1,VHVV_2,VHVV_3,VHVV_4,VHVV_5,VHVV_6,VHVV_7,VHVV_8,VHVV_9,VHVV_10,VHVV_11,VHVV_12,VHVV_13
13,-14.20224445,-16.41119038,-20.02894335,-20.6981321,-18.43282339,-16.2629541,-17.66525983,-19.13268362,-19.25527658,-17.15970033,-15.68657375,-15.02146006,-14.27284174,-14.43276133,-5.478389333,-7.836592155,-10.03915845,-10.29018802,-7.471120509,-5.302853654,-6.352366243,-8.64724772,-8.376298797,-5.652722984,-3.883941021,-4.66256054,-5.360099072,-6.682417515
14,-16.14951375,-17.63621059,-20.37103296,-20.06519542,-17.91394553,-16.46856276,-17.25011369,-17.65791363,-17.2180538,-16.01903875,-15.62069935,-15.32581961,-15.03370787,-14.9966116,-6.768824734,-8.032856527,-9.865637585,-10.03124449,-7.567067759,-5.700434264,-6.0819849,-7.034019982,-6.830675696,-5.015879016,-3.943233939,-4.852615894,-5.728550609,-6.446094791
15,-16.51878332,-17.30115942,-19.2101555,-19.383024,-17.32188602,-15.61376961,-17.65130007,-18.88571281,-19.04919666,-16.87482872,-16.29684574,-15.81898014,-15.06126086,-15.06343504,-6.743177273,-7.449701747,-9.403893598,-9.5137726,-6.980206488,-4.361577291,-6.447113672,-8.912009089,-8.664835217,-5.000787759,-3.499727645,-4.787369093,-6.318409979,-7.492565269
16,-16.54373451,-18.56149594,-19.99409591,-18.70277001,-17.52672799,-16.43945425,-17.43548925,-18.11545739,-18.11392773,-17.47191787,-17.64337438,-16.14567677,-14.76704763,-14.9096812,-6.088683482,-7.998992353,-9.813248053,-10.10767118,-7.803493586,-5.761380956,-7.357877699,-9.585811672,-8.477642972,-5.935191837,-4.516784518,-4.972270443,-5.663926591,-7.082114935
17,-14.86560434,-15.67827386,-18.59402062,-19.94984213,-17.42187483,-15.04912111,-16.95840905,-18.15308114,-19.26444219,-17.25941861,-15.85203252,-14.37638664,-14.38757497,-14.90051689,-6.901336026,-8.3972298,-10.31700486,-10.05752318,-7.939998737,-5.659919452,-6.52798983,-7.799538784,-7.618881311,-4.986707763,-3.722625795,-4.715463582,-6.005652704,-7.183198613
18,-15.36021942,-16.35687845,-19.58415746,-20.85352144,-18.31164826,-16.17281761,-17.91666269,-19.16623971,-18.90527792,-16.99435654,-15.79011178,-15.23328011,-14.90348978,-15.21407488,-6.55475418,-8.257441807,-9.769041628,-9.739480917,-7.351744124,-5.833754546,-5.737678708,-7.430453133,-7.48420907,-6.164901545,-4.909716728,-5.171508861,-5.146786196,-5.732651738
19,-14.37055671,-16.76125087,-19.02263839,-18.75210128,-16.87168612,-15.19271956,-15.81942582,-16.36439641,-16.99855582,-16.22946438,-15.46801948,-14.43986794,-13.7737708,-14.0573398,-5.351584916,-7.433003303,-10.00836249,-9.815835603,-6.783060532,-4.340382334,-6.356783294,-7.873503266,-7.69022324,-4.6926679,-3.280377328,-4.096712326,-5.226168512,-6.303323988
20,-14.50031012,-15.33377131,-17.85406614,-19.2937465,-17.58833526,-15.74953201,-16.04802648,-17.30470041,-17.78040251,-17.2953265,-17.17969142,-16.18694311,-14.85583305,-14.13992883,-6.743549285,-8.196946194,-9.275531835,-9.102368231,-7.348532321,-5.646696445,-6.540265042,-8.43970343,-8.491795533,-5.356675954,-4.217163437,-4.916008144,-6.219722038,-6.534968302
21,-16.43354023,-18.54382369,-20.11600805,-19.52117141,-17.42486887,-15.36418731,-16.16286633,-17.52590935,-18.01598499,-16.53963357,-15.82736593,-14.93286789,-14.60783607,-15.25741412,-6.498547277,-8.247425324,-9.35705353,-9.413293001,-7.793796751,-5.969990888,-6.38561248,-8.219330728,-8.09387942,-5.978254607,-4.713008299,-5.297411732,-5.691028659,-7.026530403
22,-14.55385315,-16.70413188,-18.9350776,-18.9780885,-17.42357959,-15.91935655,-16.93640587,-17.97596421,-17.7283046,-16.33081523,-16.15719251,-15.46891869,-14.59072258,-13.89359275,-5.6680241,-7.371332769,-9.039169064,-9.669644178,-7.716853627,-5.668491368,-5.991867673,-7.605010497,-7.107429985,-5.356018667,-4.399745075,-5.002856887,-5.390273635,-5.265490315
23,-16.26096002,-17.5594049,-20.1272661,-20.2541142,-17.87531319,-15.83544981,-17.35530103,-18.40886307,-18.63349289,-17.30252781,-16.36780429,-15.66755918,-14.80089491,-14.70425869,-7.246708533,-8.454395585,-9.339762271,-9.385985382,-7.30396311,-5.496426419,-6.33681958,-8.172165238,-7.688196708,-5.245553381,-4.100568892,-5.443295312,-6.404620744,-7.005427942
24,-14.42148657,-16.26434933,-18.78484247,-19.25665697,-17.01716699,-15.27972684,-16.03167857,-18.0309577,-18.87180776,-17.78789108,-16.67985662,-16.04137309,-15.03257801,-15.15516566,-6.044715403,-7.029088249,-9.416802035,-10.79955122,-8.924395111,-5.973338879,-6.547574122,-8.24250957,-8.144044102,-5.797018279,-4.468512845,-5.045640316,-5.829489478,-7.167428566
25,-15.57525733,-17.65317909,-19.97626772,-19.68830846,-17.56406831,-15.43463125,-15.87460299,-17.39883124,-18.29054122,-16.85480784,-15.50713019,-14.78246465,-14.46277269,-14.88401344,-6.66275477,-8.290162477,-10.2803236,-9.598491742,-7.135780008,-5.11651195,-6.000884839,-7.553135924,-7.487454418,-5.90766922,-3.791364548,-5.055910843,-5.501425233,-6.932950332
26,-14.48855732,-16.53694485,-20.10395,-20.80547171,-18.26166209,-15.44809077,-16.05629969,-17.208538,-18.2373248,-17.05338992,-16.20726669,-15.45496863,-14.76787929,-14.00494043,-6.114691064,-8.341212749,-10.49153029,-10.41851355,-7.593678652,-4.919645966,-6.276937211,-8.880455348,-8.402587251,-5.218591462,-3.926349766,-4.895890398,-5.51792942,-5.66679672
27,-16.58945635,-18.81959451,-20.45747723,-19.58749885,-17.53079423,-15.79509264,-15.59419691,-16.36103661,-17.00822581,-16.52926722,-16.07749335,-15.42611005,-15.18576999,-15.79625472,-5.984491994,-7.766039026,-9.517075478,-9.994198063,-7.649386775,-5.61284659,-6.309722517,-8.391249262,-7.842786334,-5.132096012,-3.874071163,-5.23755897,-5.935640779,-6.900976331
28,-15.79481512,-18.33637545,-20.33047247,-19.46677622,-17.48138956,-15.85902276,-17.06449994,-17.66253724,-17.92812269,-16.59926931,-16.03540675,-14.91450169,-14.19740215,-14.3189734,-6.460615722,-7.810975235,-9.26965373,-9.304261144,-7.27666513,-5.23526131,-6.516824708,-8.175367732,-7.60857201,-4.903069963,-3.712374645,-4.990045108,-5.934530772,-6.672870557
29,-15.53558304,-16.8651496,-20.00936081,-20.3142076,-17.6251462,-15.36791569,-17.2176848,-18.61639869,-18.56535158,-16.5358971,-15.90580287,-15.32806369,-14.82725349,-14.73225885,-6.290108631,-7.496429073,-9.418915462,-10.04043498,-7.814204273,-5.25690298,-6.007480066,-7.98394087,-7.465437522,-4.726561096,-3.667251644,-4.380441504,-5.027716228,-5.834764194
30,-16.02677777,-18.407144,-20.14398235,-19.46093221,-17.67460821,-15.28670644,-16.15148213,-17.91682723,-18.50636369,-17.01918826,-16.17136597,-15.41313238,-14.14550687,-13.95110787,-5.798925092,-7.841009046,-10.12511791,-10.62727656,-8.265042767,-5.333910774,-6.70060037,-9.024103923,-8.525100605,-5.347779968,-3.888931071,-4.649149634,-5.580614507,-6.752000845
31,-16.8310706,-17.92550495,-18.75112275,-18.29172443,-17.66334942,-16.94879812,-17.56657285,-18.12448771,-18.38472205,-17.85611095,-16.89900879,-15.82991091,-15.53450876,-15.92026297,-6.555072399,-7.096893591,-8.563083873,-9.042852335,-8.038189029,-6.108374152,-6.663944117,-9.02318255,-8.367715225,-5.766148516,-3.75902334,-4.482676396,-5.680183962,-7.236485433
32,-16.55892842,-17.80862091,-19.83321075,-19.57346869,-17.37590581,-15.93992232,-16.51316203,-16.92334269,-17.06146922,-16.33396594,-16.46136313,-15.8395638,-14.84241105,-14.5712629,-7.286203114,-8.120572854,-9.925426898,-9.82653024,-7.588067789,-4.550210653,-5.759609043,-7.931052782,-8.07141136,-5.526310354,-4.068926839,-4.71833559,-5.707721563,-7.08978487
33,-15.49484196,-17.20613318,-20.15116254,-19.92713373,-18.15321106,-16.14251591,-18.0983098,-18.46372782,-18.8023954,-17.09876644,-16.93084124,-15.58160737,-14.35181751,-13.65520082,-7.170214403,-8.173093667,-10.10132937,-9.663407944,-7.35222127,-5.342060652,-6.725583446,-8.461712775,-7.790055748,-5.317198355,-3.772236019,-4.69114559,-5.451793358,-6.243772466
34,-15.81895062,-19.5664935,-23.69582623,-23.09728573,-19.21697503,-17.1937498,-18.95696883,-19.88476569,-19.22823085,-17.15639105,-16.56635497,-15.59977167,-14.65907556,-13.71403706,-6.833166913,-8.144129768,-10.27018849,-10.88944623,-8.77760762,-6.250938214,-7.094260107,-8.824847649,-8.110044419,-5.596574245,-4.155311638,-4.966628016,-5.382309397,-5.720830767
35,-15.77378332,-17.94121619,-20.86875421,-20.25651011,-17.81383405,-16.17532323,-18.63724519,-18.94892122,-18.60080626,-16.81515758,-16.77055918,-15.50832514,-14.7600376,-15.23944009,-7.182442623,-8.348696374,-9.413971979,-9.512468323,-7.115359801,-5.57418599,-7.68407535,-8.595640746,-7.3161068,-4.385016067,-4.239971181,-4.760994689,-5.598178642,-7.339403431
36,-15.49092761,-18.10345688,-20.82527026,-20.51899507,-18.55906806,-17.09044212,-18.246353,-18.89248874,-18.49270339,-16.6188207,-16.2760903,-15.07962772,-14.60191343,-14.38643837,-6.506279157,-7.693856413,-9.724841445,-9.852535631,-7.610083528,-5.996166537,-6.781981856,-8.268067318,-6.866362728,-4.455364132,-3.187187803,-4.331386976,-5.620786429,-7.091530444
37,-17.49253195,-19.86469443,-22.15312393,-21.27450158,-18.42240575,-16.13888005,-17.22411691,-18.50010437,-18.46703263,-16.59021611,-15.97378563,-15.08874631,-14.46548294,-14.22374086,-6.996548835,-8.553790003,-10.2353884,-10.08198968,-7.513253309,-5.777404987,-6.201889161,-7.741356359,-7.357812697,-5.500063345,-3.92851893,-5.076493003,-6.232968585,-7.371629767
38,-17.90587682,-19.8990043,-21.77929281,-20.09155016,-17.84282377,-16.19046584,-18.02829357,-18.89551792,-18.82500944,-16.93039646,-16.32790073,-15.42386305,-14.27222908,-13.74265491,-6.995599414,-7.757272998,-9.263931746,-9.598232365,-7.361603636,-5.248419171,-6.239270056,-7.927757253,-7.118151222,-4.471804323,-3.091091396,-4.479937362,-5.388279745,-6.798945094
39,-15.80939173,-18.80656524,-21.29221481,-20.31054121,-17.70441082,-15.33215576,-17.83334858,-19.32228538,-19.7065288,-17.23627487,-16.80165647,-15.41050654,-14.50218642,-14.58963319,-5.717724964,-8.068924336,-10.43160388,-10.17494326,-7.285399112,-4.59124442,-6.60990989,-9.041946801,-8.446276131,-5.504857903,-3.949058274,-5.112515257,-5.356617712,-6.249847631
40,-15.47581417,-18.07611324,-21.47001046,-21.28105464,-18.53736493,-16.03681652,-17.82704265,-19.37130875,-19.1746062,-17.04722332,-16.71045576,-15.80555194,-14.41444059,-13.41489553,-6.229725315,-7.045958567,-8.523674395,-9.325122741,-7.481664341,-4.752770357,-5.65213644,-8.309756178,-7.74002187,-4.800286889,-3.311955905,-4.253369476,-5.014140721,-5.848094747
